0.0111,0.0069,0.0067,0.0175,0.0287,0.0342,0.0308,0.0396,0.0471,0.0517,0.0688,0.0768,0.0401,0.0243,0.0231,0.0606,0.0384,0.0263,0.0395,0.0304,0.0343,0.0337,0.0386,0.0277,0.0288,0.0106,0.0153,0.0096,0.0084,0.0076,0.0076,0.0074,0.0072,0.0072,0.0069,0.0070,0.0070,0.0068,0.0068,0.0067
0.0095,0.0054,0.0073,0.0088,0.0116,0.0201,0.0328,0.1025,0.0852,0.0798,0.0230,0.0282,0.0413,0.0462,0.0477,0.0393,0.0168,0.0107,0.0461,0.1045,0.0552,0.0497,0.0326,0.0176,0.0363,0.0173,0.0150,0.0080,0.0070,0.0066,0.0067,0.0065,0.0062,0.0063,0.0060,0.0060,0.0060,0.0058,0.0059,0.0057
0.0038,0.0023,0.0031,0.0143,0.0394,0.0151,0.0049,0.0035,0.0062,0.0071,0.0349,0.0700,0.0336,0.0048,0.0054,0.1650,0.1057,0.0088,0.0029,0.0042,0.0050,0.0032,0.0054,0.0140,0.0062,0.0063,0.0052,0.0033,0.0026,0.0022,0.0021,0.0021,0.0020,0.0020,0.0020,0.0020,0.0020,0.0019,0.0020,0.0019
0.0019,0.0012,0.0011,0.0061,0.0296,0.0079,0.0021,0.0012,0.0026,0.0038,0.0371,0.1232,0.0344,0.0015,0.0011,0.0819,0.0721,0.0032,0.0006,0.0014,0.0020,0.0013,0.0041,0.0105,0.0042,0.0026,0.0024,0.0015,0.0012,0.0010,0.0010,0.0010,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
0.0021,0.0014,0.0008,0.0034,0.0294,0.0079,0.0021,0.0009,0.0023,0.0040,0.0732,0.2355,0.0629,0.0011,0.0005,0.0353,0.0663,0.0028,0.0004,0.0009,0.0018,0.0013,0.0069,0.0130,0.0081,0.0021,0.0022,0.0015,0.0012,0.0010,0.0010,0.0010,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
0.0016,0.0011,0.0005,0.0026,0.0273,0.0065,0.0016,0.0007,0.0018,0.0032,0.0743,0.2615,0.0576,0.0008,0.0003,0.0299,0.0574,0.0020,0.0002,0.0007,0.0013,0.0010,0.0056,0.0114,0.0064,0.0016,0.0017,0.0011,0.0009,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0006,0.0007,0.0006
0.0044,0.0026,0.0035,0.0058,0.0205,0.0096,0.0051,0.0030,0.0047,0.0055,0.0553,0.1976,0.1211,0.0027,0.0022,0.0227,0.0391,0.0055,0.0012,0.0021,0.0039,0.0049,0.0162,0.0254,0.0305,0.0040,0.0040,0.0027,0.0022,0.0020,0.0019,0.0019,0.0018,0.0019,0.0017,0.0017,0.0018,0.0017,0.0017,0.0017
0.0062,0.0035,0.0075,0.0043,0.0062,0.0088,0.0136,0.0440,0.0367,0.0333,0.0143,0.0319,0.1247,0.0393,0.0371,0.0241,0.0127,0.0034,0.0120,0.0395,0.0273,0.0190,0.0174,0.0144,0.0300,0.0059,0.0079,0.0041,0.0035,0.0032,0.0032,0.0031,0.0030,0.0030,0.0029,0.0029,0.0029,0.0028,0.0028,0.0028
0.0029,0.0015,0.0029,0.0020,0.0017,0.0025,0.0077,0.0950,0.1658,0.0472,0.0014,0.0052,0.0284,0.0480,0.0294,0.0147,0.0023,0.0003,0.0051,0.0909,0.0285,0.0235,0.0137,0.0035,0.0144,0.0082,0.0051,0.0021,0.0018,0.0016,0.0017,0.0017,0.0016,0.0016,0.0016,0.0015,0.0015,0.0015,0.0015,0.0014
0.0014,0.0008,0.0010,0.0005,0.0005,0.0010,0.0046,0.0977,0.2805,0.0511,0.0008,0.0038,0.0134,0.0214,0.0081,0.0059,0.0007,0.0001,0.0019,0.0640,0.0249,0.0191,0.0117,0.0035,0.0185,0.0082,0.0028,0.0010,0.0009,0.0008,0.0009,0.0009,0.0008,0.0008,0.0008,0.0008,0.0008,0.0007,0.0007,0.0007
0.0014,0.0009,0.0008,0.0004,0.0005,0.0010,0.0051,0.1253,0.3118,0.0605,0.0011,0.0049,0.0105,0.0151,0.0049,0.0048,0.0006,0.0000,0.0019,0.0487,0.0304,0.0215,0.0145,0.0061,0.0316,0.0100,0.0029,0.0010,0.0009,0.0009,0.0010,0.0010,0.0009,0.0009,0.0008,0.0008,0.0008,0.0008,0.0008,0.0007
0.0018,0.0011,0.0010,0.0004,0.0006,0.0011,0.0056,0.1298,0.3436,0.0663,0.0012,0.0053,0.0126,0.0177,0.0054,0.0055,0.0007,0.0000,0.0020,0.0398,0.0359,0.0240,0.0168,0.0064,0.0437,0.0108,0.0034,0.0013,0.0011,0.0011,0.0012,0.0012,0.0011,0.0011,0.0010,0.0010,0.0010,0.0009,0.0009,0.0009
0.0023,0.0013,0.0014,0.0006,0.0008,0.0013,0.0063,0.1161,0.3323,0.0824,0.0014,0.0056,0.0181,0.0268,0.0080,0.0075,0.0009,0.0001,0.0020,0.0350,0.0385,0.0292,0.0193,0.0048,0.0467,0.0120,0.0042,0.0016,0.0014,0.0014,0.0015,0.0015,0.0014,0.0014,0.0013,0.0013,0.0013,0.0012,0.0012,0.0012
0.0052,0.0031,0.0046,0.0026,0.0024,0.0033,0.0113,0.1069,0.2258,0.0857,0.0025,0.0082,0.0406,0.0646,0.0262,0.0183,0.0031,0.0003,0.0049,0.0544,0.0502,0.0401,0.0260,0.0059,0.0464,0.0149,0.0084,0.0039,0.0033,0.0032,0.0034,0.0034,0.0032,0.0032,0.0031,0.0030,0.0030,0.0029,0.0029,0.0028
